Rk,Player,,,Team,Conf,Role,Min%,PRPG!,D-PRPG,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FTA,FT %,2PA,2P %,3P/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,7-Jun,Cam Denson,Long Beach St.,BW,Wing F,43.3,-0.2,1,-5.6,90.5,116.5,17.4,52.3,49.9,7,12.9,9.2,22.5,2,1,44.1,18-49,0.367,40-79,0.506,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fr,2-Jun,LoLo Rudolph,Cal St. Fullerton,BW,Combo G,53.2,-2.1,1,-8.4,72.3,118.2,9.8,34.7,41.8,1.6,10.2,11,33.6,0.4,0.7,62.7,23-37,0.622,13-34,0.382,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,So,Jun-00,Keith Richard,Cal St. Fullerton,BW,Combo G,51.9,-0.8,1.1,-8.5,77,116.9,21.8,35.2,40.5,2.6,8.4,14.5,21.8,0.6,1.3,31.2,43-59,0.729,41-110,0.373,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sr,Jun-00,Kadar Waller,Cal St. Bakersfield,BW,Combo G,42.2,-0.4,1.2,-3.6,93.6,112.7,12.8,44.3,51.1,2.4,10.1,15.8,30.8,0.2,3.3,51.4,27-36,0.75,22-54,0.407,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,So,10-Jun,Kendrick De Luna,Cal St. Fullerton,BW,C,59.2,-0.9,1.2,-6.5,83.2,116.7,16.1,48.1,48.8,4.2,7.5,5,24.4,2.8,1.2,29.2,23-45,0.511,74-154,0.481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fr,4-Jun,Kam Martin,Long Beach St.,BW,Combo G,69.1,0.3,1.3,-4.8,96.3,118.3,17.2,47,52.2,1.2,6.2,10.8,20.6,0.5,1.7,35,55-69,0.797,43-99,0.434,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,So,4-Jun,Antwan Robinson,Cal St. Fullerton,BW,Wing G,57,-0.9,1.3,-6.3,79.8,115.7,18.8,38.1,40.7,3,13,4.7,16.3,0.6,1.4,12.4,22-27,0.815,29-68,0.426,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jr,7-Jun,Kaleb Brown,Cal St. Fullerton,BW,Wing G,47.5,-0.4,1.3,-5.8,82.4,113.7,21.4,43.2,48.5,2.4,15,18.3,28.6,0.9,1.8,37.4,41-55,0.745,35-80,0.438,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jr,3-Jun,Carl Daughtery Jr.,UC Davis,BW,Wing G,43.4,-0.5,1.4,-6,87.3,109.1,16.1,38.1,41.9,2.8,8,4.1,11.1,0.2,1.6,25.2,25-36,0.694,23-68,0.338,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,So,9-Jun,Akira Jacobs,Hawaii,BW,Stretch 4,45.4,0.8,1.4,-2.7,102.2,111,19.4,49.7,54.3,4.8,11.2,6.7,18.7,0.8,0.5,35.8,41-53,0.774,33-57,0.579,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sr,2-Jun,Deuce Turner,UC Santa Barbara,BW,Combo G,48,1.1,1.4,-3.2,101.4,110.4,26,48.2,52.6,0.6,9.8,14.7,14.7,0.2,1.8,24.8,54-63,0.857,64-126,0.508,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
