Team,W,L,WinPct,TeamCanon,players_in_csv,sum_MinPct,w_D_Rtg,w_D_PRPG,w_DefBox,w_Usg,w_OR,w_FoulPressure,w_FTR_minwt,w_FTA_att,TopRoles
UC San Diego,30,5,0.8571428571428571,uc san diego,6,421.8,95.30905642484588,3.6880275011853962,18.323873873873872,20.981460407776197,3.921550497866287,39.44437704943966,35.87112375533429,104.40469416785206,Wing G:203.1; Scoring PG:156.8; Stretch 4:61.9
UC Irvine,32,7,0.8205128205128205,uc irvine,5,345.9,96.24775946805437,3.467360508817578,17.200520381613185,22.48412836079792,4.894796183868171,40.62482622414578,39.55524718126627,132.7421220005782,Scoring PG:142.5; Wing F:71.6; PF/C:66.4
Cal State Northridge,22,11,0.6666666666666666,cal stateate northridge,6,399.50000000000006,104.71476846057571,2.611914893617021,18.33316645807259,20.33607008760951,5.28200250312891,36.5202431975343,38.04563204005006,94.33842302878598,Wing G:139.8; PF/C:77.3; Wing F:70.7
UC Riverside,21,13,0.6176470588235294,uc riverside,6,385.6,110.98954875518672,1.8621628630705398,15.253967842323654,21.555420124481326,4.401089211618258,29.36701605073288,29.926348547717836,86.49559128630705,Scoring PG:146.3; Wing F:119.4; Combo G:67.2
UC Santa Barbara,21,13,0.6176470588235294,uc santa barbara,6,381.1,108.34174757281554,2.1817633167147727,15.76179480451325,20.195644187877196,3.8368144843873,29.139889379151203,27.001863028076613,75.30252600297176,Combo G:119.9; Wing G:75.7; Scoring PG:75.6
UC Davis,15,17,0.46875,uc davis,7,449.1,104.79991093297706,2.5308617234468938,16.64509018036072,20.656223558227563,4.6638610554442215,40.01619022261125,41.10915163660654,93.99176130037853,Scoring PG:157.7; Wing G:112.6; Combo G:74.7
Cal Poly,16,19,0.45714285714285713,cal poly,5,343.40000000000003,112.26523005241698,1.9097262667443216,14.90739662201514,20.47251019219569,4.081828771112405,29.24303453926313,29.133139196272566,83.18753640069889,Wing G:198.2; Combo G:145.2
Cal State Bakersfield,14,19,0.42424242424242425,cal stateate bakersfield,6,370.7,113.59697868896683,1.6020771513353116,16.347046128945237,21.316212570811977,5.339196115457243,35.9324427480916,38.156190990018885,84.66630698678176,Combo G:172.0; Wing G:75.1; Wing F:64.0
Hawaii,15,16,0.4838709677419355,hawaii,9,475.0,108.5138105263158,1.7944842105263157,16.363978947368423,19.82498947368421,5.051978947368421,41.477163962123306,40.66591578947368,69.0117894736842,Stretch 4:148.1; Wing G:123.8; Combo G:97.9
Long Beach State,7,25,0.21875,long beach state,6,389.1,115.00059110768439,1.638190696479054,16.551811873554353,20.915497301464917,4.470033410434334,36.385176611101684,36.84870213312773,88.07067591878695,Combo G:136.9; Scoring PG:90.4; C:69.2
Cal State Fullerton,6,26,0.1875,cal stateate fullerton,7,380.90000000000003,115.42192176424257,1.3058283013914411,15.732003150433181,19.675085324232082,3.382882646363875,36.190675505454855,36.67558414281963,61.92018902599107,Wing G:164.8; Combo G:105.1; C:59.2
